temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
460,26.7827072,28.328001,26.4373512,27.6403179
461,26.7804394,28.3224659,26.4446316,27.6370182
462,26.7735825,28.3272171,26.4187012,27.6278725
463,26.776186,28.3228016,26.3438225,27.640934
464,26.774086,28.3280277,26.3101616,27.6371021
465,26.7726021,28.3221302,26.3034401,27.6368504
466,26.7798805,28.3141918,26.3238277,27.635704
467,26.7642593,28.3087692,26.3628368,27.6424999
468,26.7663307,28.3064766,26.3389778,27.6739674
469,26.7951565,28.3428211,26.3728218,27.6607647
470,26.7878227,28.3385715,26.3253555,27.6683178
471,26.7935886,28.3297119,26.2408352,27.6566811
472,26.7972851,28.3298225,26.2510567,27.66152
473,26.7929173,28.318615,26.1833363,27.6623592
474,26.7923584,28.3064842,26.1488857,27.6594219
475,26.7725945,28.3014793,26.0957508,27.6581631
476,26.781105,28.2829762,26.1217175,27.67103
477,26.7765427,28.2882309,26.1396713,27.6613255
478,26.7741623,28.2793407,26.1449928,27.6569901
479,26.7709999,28.2762661,26.1376553,27.6603451
480,26.7826443,28.2670975,26.1319675,27.6485138
481,26.7721748,28.2696133,26.1306801,27.6440678
482,26.7738266,28.2704792,26.1054153,27.6537724
483,26.7706642,28.2461052,26.1068439,27.6506405
484,26.7697411,28.2587128,26.0993099,27.6525135
485,26.7692642,28.2558327,26.1023331,27.6432838
486,26.7548466,28.2564468,26.1051617,27.6797333
487,26.7971935,28.3045425,26.1773243,27.679203
488,26.7904758,28.3135147,26.1862316,27.6734409
489,26.7888794,28.3098812,26.1942139,27.6900539
490,26.7750244,28.3122578,26.2186356,27.6794262
491,26.7785511,28.3114471,26.2340679,27.6828098
492,26.7795582,28.3219852,26.2307911,27.6769924
493,26.7713013,28.3143253,26.2680397,27.6754265
494,26.772644,28.313488,26.2884007,27.6771049
495,26.7681942,28.3205585,26.3275509,27.6697216
496,26.7741566,28.3080368,26.3336563,27.6689377
497,26.7643585,28.3180714,26.3559189,27.6711197
498,26.7673817,28.3165054,26.3666153,27.6643791
499,26.770546,28.3259544,26.3441849,27.6683216
500,26.7641354,28.3158073,26.3603153,27.673748
501,26.7622585,28.3182945,26.3907547,27.6609383
502,26.7588444,28.3225727,26.4060993,27.6604061
503,26.7575283,28.3054657,26.4574261,27.6725731
504,26.7543373,28.3113632,26.4903831,27.6895123
505,26.7822075,28.3497486,26.4930706,27.6905479
506,26.7867985,28.3539696,26.4564743,27.6977081
507,26.7745094,28.3509235,26.4437618,27.6839752
508,26.7766647,28.3511467,26.4350815,27.6760311
509,26.7659435,28.3543892,26.4352779,27.6906319
510,26.7691917,28.3537731,26.4394493,27.6766758
511,26.7708702,28.3434029,26.4236851,27.6765347
512,26.7752094,28.359169,26.4276333,27.6766186
513,26.7682953,28.3477364,26.4640064,27.6682014
514,26.7646008,28.3408318,26.4933224,27.6759758
515,26.7508011,28.3451939,26.4767742,27.6688995
516,26.757267,28.3465061,26.3941422,27.676815
517,26.7553902,28.3472061,26.3819046,27.6767597
518,26.7593937,28.3517056,26.404335,27.6764507
519,26.7577991,28.3391266,26.3909225,27.6688709
520,26.7494278,28.3399372,26.3085079,27.6776829
521,26.7464333,28.3435726,26.3194027,27.6883945
522,26.7563152,28.3483791,26.3275509,27.705904
523,26.7775135,28.3765526,26.3417606,27.7009811
524,26.7854919,28.3645611,26.3377838,27.7083092
525,26.7819653,28.3625488,26.3184338,27.7097645
526,26.7749939,28.3615417,26.3552036,27.6954727
527,26.7604942,28.3608437,26.3725929,27.7086163
528,26.7718868,28.3567352,26.4073448,27.693346
529,26.769228,28.3602848,26.4634037,27.6928139
530,26.7701797,28.3732529,26.4956322,27.6899338
531,26.766737,28.3651485,26.4935875,27.6807594
532,26.7622299,28.3836784,26.4519234,27.6851521
533,26.7626495,28.368866,26.4178448,27.690073
534,26.7576389,28.373394,26.4454536,27.6889
535,26.7615871,28.3703194,26.5023232,27.6889839
536,26.7574711,28.3785362,26.4787197,27.6853752
537,26.7541676,28.3636665,26.4674625,27.6895695
538,26.7478695,28.3770275,26.4638233,27.6883945
